Wall time,Step,Value
1673903228.003994,50001,8.217742919921875
1673903304.043146,51001,7.547750949859619
1673903374.643831,52001,6.959178924560547
1673903454.543108,53001,6.708619117736816
1673903529.590698,54001,6.652629375457764
1673903642.033755,55001,6.633662223815918
1673903744.544483,56001,6.64333963394165
1673903829.498224,57001,6.6240553855896
1673903913.913983,58001,6.597529888153076
1673904002.934478,59001,6.6046953201293945
1673904095.779027,60001,6.572179794311523
1673904188.646101,61001,6.557860374450684
1673904353.255963,63001,6.564259052276611
1673904421.528449,64001,6.549882411956787
1673904498.126094,65001,6.544210910797119
1673904578.026017,66001,6.542481422424316
1673904667.331498,67001,6.54350471496582
1673904754.734111,68001,6.536258220672607
1673904846.001144,69001,6.537103176116943
1673904915.280657,70001,6.556421279907227
1673904992.79744,71001,6.5381622314453125
1673905088.049516,72001,6.537649154663086
1673905172.17633,73001,6.530160427093506
1673905321.493015,75001,6.530691623687744
1673905417.769171,76001,6.526732921600342
1673905497.340817,77001,6.540034294128418
1673905571.735519,78001,6.53482723236084
1673905642.868026,79001,6.526943683624268
1673905709.197314,80001,6.529093265533447
1673905805.461312,81001,6.520273685455322
1673905906.224149,82001,6.523855209350586
1673906004.97697,83001,6.530190944671631
1673906072.691329,84001,6.52047061920166
1673906151.018379,85001,6.519758701324463
1673906239.580156,86001,6.522592067718506
1673906327.886818,87001,6.517582416534424
1673906403.394489,88001,6.520608425140381
1673906480.368663,89001,6.515632629394531
1673906579.731241,90001,6.522170543670654
1673906749.469616,92001,6.516372203826904
1673906818.928749,93001,6.514795303344727
1673906901.979935,94001,6.520687103271484
1673906995.768947,95001,6.517406463623047
1673907091.817071,96001,6.514318943023682
1673907181.213392,97001,6.516568660736084
1673907269.352113,98001,6.515565872192383
1673907349.911342,99001,6.514782428741455
1673907436.808723,100001,6.520125865936279
1673907530.074502,101001,6.519704818725586
1673907621.553597,102001,6.51201868057251
1673907695.27952,103001,6.513967514038086
1673907775.454349,104001,6.513814449310303
1673907853.634098,105001,6.5172014236450195
1673907944.963388,106001,6.518364906311035
1673908027.831326,107001,6.518157005310059
1673908107.59074,108001,6.514863967895508
1673908310.425744,110001,6.509639263153076
1673908406.351206,111001,6.512251377105713
1673908491.144937,112001,6.5113701820373535
1673908565.414518,113001,6.512576580047607
1673908742.247038,115001,6.510735511779785
1673908842.413704,116001,6.514659881591797
1673908944.045039,117001,6.511326313018799
1673909044.86941,118001,6.516441345214844
1673909147.510358,119001,6.51445198059082
1673909254.740542,120001,6.515570640563965
1673909366.698572,121001,6.517549514770508
1673909474.18748,122001,6.516446113586426
1673909575.153098,123001,6.517796993255615
1673909664.380404,124001,6.5185933113098145
1673909753.388093,125001,6.514287948608398
1673909822.690531,126001,6.513007640838623
1673909890.471037,127001,6.516338348388672
1673909988.398921,128001,6.518812656402588
1673910094.189876,129001,6.510924339294434
1673910212.294086,130001,6.513472557067871
1673910296.194919,131001,6.51126766204834
1673910379.810984,132001,6.513062477111816
1673910471.190733,133001,6.513717174530029
1673910564.99331,134001,6.510756492614746
1673910657.584168,135001,6.513715744018555
1673910741.629231,136001,6.51149845123291
1673910849.997252,137001,6.513479709625244
1673910987.958995,138001,6.513186931610107
1673911074.922415,139001,6.516554355621338
1673911150.107395,140001,6.513245105743408
1673911312.81656,142001,6.511669635772705
1673911381.577021,143001,6.511092185974121
1673911477.218574,144001,6.51194953918457
1673911564.396647,145001,6.51057243347168
1673911657.906407,146001,6.5102410316467285
1673911745.785469,147001,6.510991096496582
1673911841.819359,148001,6.511288166046143
1673911926.846914,149001,6.507991790771484
1673912017.783646,150001,6.510728359222412
1673912115.544248,151001,6.513153076171875
1673912222.965689,152001,6.512284755706787
1673912311.249666,153001,6.512922763824463
1673912413.198071,154001,6.511270046234131
1673912514.07942,155001,6.513086318969727
1673912630.510903,156001,6.514868259429932
1673912732.060653,157001,6.514065742492676
1673912834.35181,158001,6.509908676147461
1673912938.697122,159001,6.514472007751465
1673913036.485317,160001,6.511540412902832
1673913136.947088,161001,6.510097026824951
1673913221.282705,162001,6.514912128448486
1673913388.394973,164001,6.5116448402404785
1673913483.973034,165001,6.512001991271973
1673913570.982244,166001,6.511288642883301
1673913656.679941,167001,6.514352321624756
1673913764.177943,168001,6.509319305419922
1673913866.309556,169001,6.508723258972168
